,time,model_I,model_R,model_V,model_I_vega,model_R_vega,model_V_vega
43,2458531,13.650767793502407,13.309918071186697,14.411186491265784,13.200767793502408,13.099918071186696,14.391186491265785
44,2458532,13.599116557128287,13.25410804099722,14.33312234146577,13.149116557128288,13.04410804099722,14.313122341465771
45,2458533,13.488573013147626,13.15211806300685,14.183905304652708,13.038573013147627,12.942118063006848,14.163905304652708
46,2458534,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
47,2458535,13.363029523987517,13.04685850725362,14.02901675776965,12.913029523987518,12.83685850725362,14.00901675776965
48,2458536,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
49,2458537,13.5297226850133,13.189969475469962,14.238479821237963,13.079722685013301,12.97996947546996,14.218479821237963
50,2458538,13.634693728467152,13.293828488744705,14.387610200159383,13.184693728467153,13.083828488744704,14.367610200159383
51,2458539,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
52,2458540,13.528101693372637,13.183630005464028,14.232970784206596,13.078101693372638,12.973630005464027,14.212970784206597
53,2458541,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
54,2458542,13.363029523987517,13.04685850725362,14.02901675776965,12.913029523987518,12.83685850725362,14.00901675776965
55,2458543,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
56,2458544,13.502380851018888,13.164599674278715,14.201975961948168,13.052380851018889,12.954599674278715,14.181975961948169
57,2458545,13.599116557128287,13.25410804099722,14.33312234146577,13.149116557128288,13.04410804099722,14.313122341465771
58,2458546,13.632880160601086,13.285635770097752,14.38035448397854,13.182880160601087,13.075635770097751,14.36035448397854
59,2458547,13.575087705809114,13.231867020422381,14.29986817089694,13.125087705809115,13.02186702042238,14.27986817089694
60,2458548,13.460789028311172,13.127550819095358,14.148177392523078,13.010789028311173,12.917550819095357,14.128177392523078
61,2458549,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
62,2458550,13.376402669407032,13.057791286037645,14.045077938816103,12.926402669407032,12.847791286037644,14.025077938816104
63,2458551,13.445520972829538,13.11042185927634,14.126251585063148,12.995520972829539,12.900421859276339,14.106251585063148
64,2458552,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
65,2458553,13.632880160601086,13.285635770097752,14.38035448397854,13.182880160601087,13.075635770097751,14.36035448397854
66,2458554,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
67,2458555,13.502380851018888,13.164599674278715,14.201975961948168,13.052380851018889,12.954599674278715,14.181975961948169
